Customer id,Gender,Age,Payment method
C00001,F,31,Cash
C00002,M,60,Cash
C00003,F,41,Credit Card
C00004,M,41,Mobile Payment
C00005,M,37,Credit Card
C00006,M,58,Mobile Payment
C00007,F,41,Cash
C00008,M,66,Credit Card
C00009,M,25,Cash
C00010,F,22,Credit Card
C00011,M,48,Credit Card
C00012,F,62,Credit Card
C00013,F,32,Mobile Payment
C00014,M,50,Cash
C00015,M,32,Cash
C00016,M,24,Credit Card
C00017,F,47,Mobile Payment
C00018,M,24,Mobile Payment
C00019,F,57,Cash
C00020,F,40,Credit Card
C00021,M,20,Credit Card
C00022,M,35,Credit Card
C00023,F,44,Credit Card
C00024,F,47,Credit Card
C00025,F,50,Cash
C00026,M,31,Mobile Payment
C00027,F,58,Credit Card
C00028,F,50,Cash
C00029,M,67,Cash
C00030,M,59,Credit Card
C00031,F,49,Credit Card
C00032,M,30,Cash
C00033,M,32,Cash
C00034,F,25,Credit Card
C00035,F,21,Mobile Payment
C00036,F,47,Mobile Payment
C00037,M,51,Cash
C00038,M,52,Credit Card
C00039,F,21,Mobile Payment
C00040,F,54,Cash
C00041,M,52,Cash
C00042,M,56,Cash
C00043,M,40,Cash
C00044,M,23,Cash
C00045,F,39,Credit Card
C00046,F,65,Credit Card
C00047,M,55,Credit Card
C00048,F,28,Cash
C00049,M,38,Cash
C00050,M,20,Credit Card
C00051,F,50,Cash
C00052,F,53,Credit Card
C00053,F,51,Mobile Payment
C00054,F,59,Credit Card
C00055,M,65,Credit Card
C00056,M,42,Mobile Payment
C00057,F,51,Cash
C00058,F,45,Mobile Payment
C00059,F,41,Cash
C00060,M,45,Cash
C00061,M,54,Mobile Payment
C00062,F,64,Cash
C00063,F,42,Cash
C00064,M,44,Cash
C00065,F,54,Cash
C00066,F,61,Cash
C00067,F,54,Credit Card
C00068,F,36,Credit Card
C00069,M,23,Cash
C00070,M,53,Cash
C00071,M,51,Cash
C00072,F,33,Mobile Payment
C00073,F,45,Mobile Payment
C00074,M,58,Mobile Payment
C00075,M,34,Mobile Payment
C00076,F,40,Cash
C00077,F,52,Credit Card
C00078,M,38,Credit Card
C00079,F,48,Cash
C00080,M,37,Credit Card
C00081,M,66,Cash
C00082,M,24,Mobile Payment
