Product id,Category,Price
P00001,Clothing,170.4
P00002,Books,381.94
P00003,Clothing,429.39
P00004,Clothing,491.15
P00005,Groceries,50.08
P00006,Toys,445.2
P00007,Clothing,500.79
P00008,Groceries,61.51
P00009,Electronics,1563.6
P00010,Books,381.76
P00011,Clothing,796.01
P00012,Groceries,76.75
P00013,Toys,185.79
P00014,Clothing,276.38
P00015,Electronics,5635.27
P00016,Books,354.87
P00017,Toys,447.92
P00018,Groceries,49.43
P00019,Groceries,106.16
P00020,Toys,107.75
P00021,Books,248.85
P00022,Toys,112.98
P00023,Groceries,63.58
P00024,Clothing,551.6
P00025,Groceries,94.05
P00026,Books,212.08
P00027,Toys,276.5
P00028,Electronics,5141.29
P00029,Toys,150.3
P00030,Books,394.68
P00031,Groceries,37.23
P00032,Clothing,384.04
P00033,Clothing,766.76
P00034,Books,259.32
P00035,Electronics,6239.52
P00036,Toys,222.16
P00037,Toys,341.11
P00038,Electronics,2639.86
P00039,Books,427.26
P00040,Books,316.57
P00041,Books,389.92
P00042,Electronics,3081.14
P00043,Electronics,1736.8
P00044,Clothing,279.93
P00045,Clothing,492.84
P00046,Groceries,33.37
P00047,Groceries,51.92
P00048,Toys,514.78
P00049,Groceries,100.5
P00050,Clothing,662.44
P00051,Books,59.94
P00052,Clothing,110.32
P00053,Books,248.1
P00054,Clothing,236.94
P00055,Books,250.94
P00056,Groceries,70.37
P00057,Toys,601.62
P00058,Groceries,114.97
P00059,Toys,512.85
P00060,Books,357.16
P00061,Books,270.31
P00062,Toys,541.35
P00063,Clothing,143.57
P00064,Electronics,2454.3
P00065,Books,205.81
P00066,Groceries,50.66
P00067,Groceries,42.47
P00068,Electronics,5461.91
P00069,Toys,402.29
P00070,Groceries,115.98
P00071,Clothing,87.25
P00072,Electronics,5146.93
P00073,Books,186.04
P00074,Books,102.94
P00075,Books,396.94
P00076,Toys,112.4
P00077,Clothing,506.61
P00078,Books,397.44
P00079,Books,136.95
P00080,Toys,316.52
P00081,Clothing,673.0
P00082,Books,240.19
P00083,Groceries,44.47
P00084,Electronics,2667.55
P00085,Clothing,534.42
P00086,Books,389.91
P00087,Books,432.47
P00088,Books,222.91
P00089,Clothing,428.72
P00090,Groceries,52.31
P00091,Books,297.25
P00092,Groceries,114.63
P00093,Clothing,476.11
P00094,Electronics,5990.66
P00095,Toys,426.04
P00096,Electronics,5764.57
P00097,Clothing,623.22
P00098,Books,276.55
P00099,Books,246.6
P00100,Groceries,107.76
P00101,Books,154.43
P00102,Books,333.95
P00103,Groceries,109.06
P00104,Groceries,116.93
P00105,Toys,243.47
P00106,Clothing,262.31
P00107,Electronics,2268.6
P00108,Toys,133.94
P00109,Books,318.09
P00110,Electronics,1583.21
P00111,Books,101.08
P00112,Groceries,100.72
P00113,Clothing,811.47
P00114,Books,187.02
P00115,Electronics,4387.23
P00116,Toys,336.28
P00117,Toys,513.17
P00118,Books,336.02
P00119,Groceries,122.17
P00120,Toys,422.81
P00121,Groceries,48.05
P00122,Toys,587.87
P00123,Electronics,1487.88
P00124,Toys,346.36
P00125,Books,396.12
P00126,Electronics,5023.94
P00127,Groceries,101.2
P00128,Clothing,211.67
P00129,Clothing,161.67
P00130,Toys,64.49
P00131,Books,233.59
P00132,Electronics,2952.6
P00133,Clothing,110.81
P00134,Clothing,446.83
P00135,Clothing,439.44
P00136,Clothing,753.85
P00137,Groceries,33.81
P00138,Toys,568.47
P00139,Clothing,497.37
P00140,Books,412.04
P00141,Books,417.71
P00142,Groceries,108.33
P00143,Books,64.84
P00144,Clothing,552.78
P00145,Toys,149.43
P00146,Books,371.05
P00147,Toys,532.74
P00148,Books,363.36
P00149,Clothing,176.89
P00150,Toys,524.61
