Invoice no,Customer id,Product id list,Invoice date,Shopping mall
INV00001,C00841,"P00319,P00030",23/04/2024,TKO
INV00002,C00489,"P00117,P00096,P00239",22/11/2024,ST
INV00003,C00567,"P00117,P00096,P00361",01/06/2024,TKO
INV00004,C00184,"P00117,P00096",14/08/2024,TKO
INV00005,C00870,"P00476,P00497,P00457",21/11/2025,ST
INV00006,C00148,P00108,30/11/2025,MK
INV00007,C00566,P00394,09/12/2025,TKO
INV00008,C00540,"P00074,P00436,P00207",01/10/2024,TKO
INV00009,C00552,"P00198,P00205,P00030,P00121",20/10/2024,ST
INV00010,C01069,"P00403,P00333",23/03/2024,TKO
INV00011,C00565,"P00117,P00096",02/04/2025,MK
INV00012,C00201,"P00324,P00157,P00087,P00300",03/08/2025,CYB
INV00013,C01041,"P00117,P00096,P00423,P00116",28/03/2024,TKO
INV00014,C00409,"P00184,P00337,P00537",03/10/2025,TKO
INV00015,C00225,P00407,24/01/2024,MK
INV00016,C00139,"P00304,P00085",26/09/2025,CYB
INV00017,C01065,"P00117,P00096",14/07/2024,TKO
INV00018,C00185,"P00377,P00309",16/04/2024,ST
INV00019,C00321,"P00426,P00206",19/12/2024,TKO
INV00020,C00433,"P00322,P00088,P00474,P00537,P00290",16/07/2025,TKO
INV00021,C00005,P00485,08/02/2024,TKO
INV00022,C01027,P00363,30/11/2024,MK
INV00023,C00489,P00229,16/09/2024,TKO
INV00024,C00827,"P00117,P00096,P00142",12/12/2024,CYB
INV00025,C00536,"P00117,P00096",08/05/2024,ST
INV00026,C00666,"P00104,P00458,P00331,P00351,P00072",22/10/2024,CYB
INV00027,C00199,"P00067,P00132,P00205",18/10/2025,MK
INV00028,C00583,"P00016,P00245,P00489",09/06/2025,CYB
INV00029,C00128,"P00499,P00417,P00032,P00377",18/06/2024,MK
INV00030,C00233,"P00117,P00096,P00391",13/06/2025,MK
INV00031,C00192,"P00479,P00535,P00117,P00208,P00230",04/05/2025,TKO
INV00032,C00083,"P00513,P00507,P00175,P00303",06/06/2025,TKO
INV00033,C00991,"P00168,P00529,P00482,P00026,P00389",12/10/2024,MK
INV00034,C00362,P00393,22/02/2024,TKO
INV00035,C00047,"P00425,P00413",04/06/2025,ST
INV00036,C00363,P00348,22/08/2025,ST
INV00037,C01007,P00503,20/12/2025,TKO
INV00038,C00917,P00072,21/02/2024,MK
INV00039,C00464,"P00341,P00488,P00253,P00138",17/02/2024,ST
INV00040,C00052,"P00032,P00009,P00085,P00124,P00412",08/01/2024,ST
INV00041,C01114,"P00117,P00096",06/10/2024,ST
INV00042,C01085,"P00117,P00096,P00229,P00020",06/05/2025,TKO
INV00043,C00426,"P00117,P00096",14/01/2025,ST
INV00044,C00864,"P00117,P00096",04/01/2024,CYB
INV00045,C01136,"P00156,P00289,P00401,P00198",22/04/2024,TKO
INV00046,C00022,"P00436,P00340,P00011,P00499",23/03/2025,CYB
INV00047,C00968,"P00434,P00116,P00011,P00184,P00018",27/08/2024,CYB
INV00048,C00769,"P00237,P00437",08/03/2024,TKO
INV00049,C00158,"P00364,P00015,P00190",14/11/2024,MK
INV00050,C00892,"P00117,P00096,P00251",11/05/2024,MK
INV00051,C00519,P00091,30/07/2024,ST
INV00052,C00028,P00307,30/07/2025,CYB
INV00053,C00122,P00287,31/07/2025,MK
INV00054,C01032,"P00117,P00096",27/11/2025,MK
INV00055,C00678,P00512,27/09/2024,TKO
INV00056,C00780,"P00161,P00142,P00083",04/10/2025,TKO
INV00057,C00986,"P00117,P00096,P00490,P00107",12/05/2025,TKO
INV00058,C00458,"P00379,P00259",21/05/2025,TKO
INV00059,C00085,"P00410,P00536,P00512,P00288",06/09/2025,TKO
INV00060,C00316,P00138,10/04/2024,ST
INV00061,C01001,"P00227,P00144,P00277",04/11/2025,TKO
INV00062,C00603,P00503,24/07/2025,TKO
INV00063,C00911,"P00387,P00037",18/03/2024,MK
INV00064,C00522,"P00342,P00147,P00012,P00082,P00006",20/02/2025,ST
INV00065,C00644,"P00413,P00222,P00223",25/12/2025,CYB
INV00066,C00159,"P00108,P00456,P00127",11/06/2024,TKO
INV00067,C01026,"P00518,P00004",14/12/2025,TKO
INV00068,C00351,P00059,18/09/2025,MK
INV00069,C00102,"P00243,P00179,P00340,P00287,P00484",30/07/2024,MK
INV00070,C00252,"P00121,P00109,P00150",02/03/2024,CYB
INV00071,C00986,"P00117,P00096,P00311",01/04/2025,MK
INV00072,C00865,"P00082,P00117,P00203,P00404,P00440",21/01/2024,ST
INV00073,C01053,"P00198,P00229",26/11/2025,TKO
INV00074,C01137,P00245,08/02/2024,CYB
INV00075,C00051,"P00117,P00096,P00420",17/05/2024,ST
INV00076,C00216,"P00062,P00013,P00253,P00508,P00331",25/05/2025,TKO
INV00077,C01115,"P00330,P00194,P00246,P00043",19/01/2024,CYB
INV00078,C00133,"P00117,P00096",24/04/2024,CYB
INV00079,C00357,"P00117,P00096,P00116,P00301",17/05/2024,MK
INV00080,C01130,"P00117,P00096,P00039",04/02/2025,ST
INV00081,C00583,"P00117,P00096",20/11/2025,TKO
INV00082,C00112,"P00117,P00096,P00176",19/03/2024,MK
INV00083,C00653,"P00117,P00096,P00034,P00512",09/03/2024,CYB
INV00084,C00807,"P00067,P00184,P00055,P00111",15/04/2024,MK
INV00085,C00392,"P00117,P00096,P00241,P00516",01/05/2025,TKO
INV00086,C00414,"P00030,P00221",13/07/2025,MK
INV00087,C00919,"P00527,P00200,P00379",06/02/2025,TKO
INV00088,C01069,P00319,18/12/2025,MK
INV00089,C00212,"P00045,P00052,P00418,P00359",11/02/2025,TKO
INV00090,C00684,"P00117,P00096",11/12/2024,TKO
INV00091,C00950,P00361,21/07/2025,CYB
INV00092,C00043,"P00519,P00473,P00189,P00054,P00390",19/09/2024,CYB
INV00093,C00445,"P00117,P00096",17/05/2024,ST
INV00094,C00570,"P00117,P00096,P00432",09/06/2024,CYB
INV00095,C00383,"P00117,P00096,P00024,P00010",28/09/2024,MK
INV00096,C01043,"P00334,P00440,P00053",20/11/2024,CYB
INV00097,C00917,"P00117,P00096,P00080",18/02/2024,TKO
INV00098,C00219,"P00266,P00102,P00350,P00459",25/01/2025,CYB
INV00099,C01066,"P00454,P00155",24/03/2024,TKO
INV00100,C01062,"P00229,P00455,P00343,P00087,P00407",11/05/2025,ST
INV00101,C00857,"P00242,P00132,P00184",08/04/2025,ST
INV00102,C00187,P00099,15/11/2025,MK
INV00103,C00457,"P00117,P00096,P00026",23/02/2025,TKO
INV00104,C01097,"P00187,P00335,P00358,P00495",21/12/2025,CYB
INV00105,C01008,P00066,12/06/2025,ST
INV00106,C00650,"P00117,P00096",05/12/2024,CYB
INV00107,C00367,"P00117,P00096,P00137",27/04/2024,CYB
