,recency_days,tenure_days,frequency,monetary,invoice_amount_std,avg_ticket,avg_ticket_std,avg_items,avg_items_std,age,mean_gap_days,std_gap_days,cv_gap,monetary_recent_ratio,freq_recent_ratio,durable_share,fmcg_share,clothing_share,top_category_share,category_entropy,pay_cash_share,pay_credit_share,noncash_share,MK,TKO,ST,CYB,topcat_Books,topcat_Electronics,topcat_Toys,topcat_other,price_quantile_median,price_quantile_iqr,gender_F,gender_M,price_bin_0,price_bin_1,price_bin_2,price_bin_3
C00001,113,685,5,9.756443560277784,8.478883431076792,8.14723730199434,8.478883431076792,2.8,0.7397659962052513,31.0,4.969813299576001,4.773159269692886,0.5989608679897395,0.0,0.0,0.3571428571428571,0.3571428571428571,0.2857142857142857,0.2857142857142857,1.5740973368489728,1.0,0.0,0.0,0.0,0.4,0.0,0.6,False,False,False,1,0.7882088714205503,0.21948343627175737,True,False,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.5
C00002,222,671,5,9.165393213990027,7.978604136849103,7.556373603090501,7.978604136849103,2.8,0.9719780738352177,60.0,4.7295977643631435,4.002628679080757,0.391210223473066,0.0,0.0,0.5,0.3571428571428571,0.14285714285714285,0.42857142857142855,1.3760552852604169,1.0,0.0,0.0,0.0,0.4,0.2,0.4,False,False,True,0,0.36501965188096575,0.3240875912408759,False,True,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.21428571428571427
C00004,119,705,5,9.522130495951899,8.09666279553326,7.912985394712306,8.09666279553326,2.0,0.5347999967395705,41.0,4.993828175779875,4.628081408414221,0.5256674423614655,0.0,0.0,0.8,0.2,0.0,0.6,1.0888999753452235,0.0,0.0,1.0,0.0,0.4,0.2,0.4,False,False,True,0,0.34755755193711396,0.4123526108927569,False,True,0.2,0.3,0.1,0.4
C00005,81,700,6,10.192432701970226,7.96095741802449,8.400860478533152,7.96095741802449,2.6666666666666665,0.9185063976401735,37.0,4.826712455935327,4.961734362328018,0.7634796167490381,0.022287417268646328,0.16666666663888888,0.6875,0.3125,0.0,0.4375,1.2820462400528452,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,False,False,True,0,0.7368613138686131,0.39994385176866926,False,True,0.1875,0.125,0.1875,0.5
C00006,164,191,3,10.145463456660865,7.943191318109397,8.828728272870409,7.943191318109397,3.3333333333333335,0.4557463944083262,58.0,2.6741486494265287,2.5257286443082556,0.6161861393897429,0.0,0.0,0.9,0.0,0.1,0.5,0.9433483923290393,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,False,False,True,0,0.7254912970241437,0.09362717574396417,False,True,0.0,0.1,0.1,0.8
C00007,168,660,3,8.679896903840596,6.9056575045133455,7.581624494586543,6.9056575045133455,3.0,0.0,41.0,5.5093883366279774,5.0689042022202315,0.49608334202719745,0.0,0.0,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.3333333333333333,1.5229550675313182,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,False,0,0.4131948343627176,0.25336889387984285,True,False,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.4444444444444444
C00008,171,228,2,9.530321663053426,3.583175644346069,8.828728272870409,3.583175644346069,3.5,0.5347999967395705,66.0,4.060443010546419,0.0,0.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.2857142857142857,1.351783994289646,0.0,1.0,1.0,0.5,0.5,0.0,0.0,False,True,False,0,0.5421673217293655,0.04969118472768108,False,True,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855
C00009,23,380,3,9.022416752891967,8.021835929626498,7.924045783372013,8.021835929626498,3.6666666666666665,0.927240654712096,25.0,5.190175207928333,5.173320876373351,0.6847083119113033,0.7485619941634042,0.3333333332222222,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.36363636363636365,1.4681399390162087,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,True,False,False,0,0.37316114542391915,0.09845592363840538,False,True,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.36363636363636365
C00010,175,610,3,9.815314592078654,8.513072409102946,8.716811515147638,8.513072409102946,4.0,0.0,22.0,5.3867860145356445,5.363636832668679,0.6815863581565973,0.0,0.0,0.6666666666666667,0.25,0.08333333333333333,0.4166666666666667,1.4241299173467734,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,False,False,True,0,0.5749017405951713,0.2799270072992701,True,False,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.4166666666666667
C00011,451,607,3,9.340241683822805,7.757150455089487,8.241805016150987,7.757150455089487,4.333333333333333,0.7676517525907619,48.0,4.3694478524670215,3.970291913552122,0.5108256237608624,0.0,0.0,0.38461538461538464,0.5384615384615385,0.07692307692307693,0.46153846153846156,1.3778195080390327,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,True,False,False,0,0.5120718697361033,0.12327344188658057,False,True,0.07692307692307693,0.15384615384615385,0.46153846153846156,0.3076923076923077
