,recency_days,tenure_days,frequency,monetary,invoice_amount_std,avg_ticket,avg_ticket_std,avg_items,avg_items_std,age,mean_gap_days,std_gap_days,cv_gap,monetary_recent_ratio,freq_recent_ratio,recent_90d_monetary,durable_share,fmcg_share,clothing_share,top_category_share,category_entropy,pay_cash_share,pay_credit_share,noncash_share,MK,TKO,ST,CYB,topcat_Books,topcat_Electronics,topcat_Toys,topcat_other,price_quantile_median,price_quantile_iqr,gender_F,gender_M,price_bin_0,price_bin_1,price_bin_2,price_bin_3
C00003,420,530,3,4348.360000000001,1384.8027860072111,1449.4533333333336,1384.8027860072111,3.3333333333333335,0.5773502691896257,41.0,55.0,11.0,0.19999999999636364,0.0,0.0,0.0,0.30000000000000004,0.6000000000000001,0.1,0.4,1.4708084763221114,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,False,False,False,1,0.26934306569343064,0.1913250982594048,True,False,0.5,0.2,0.1,0.2
C00015,687,687,1,1030.23,0.0,1030.23,0.0,2.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,1,0.7070746771476698,0.0,False,True,0.0,0.5,0.0,0.5
C00045,17,287,2,1276.01,298.03843720231794,638.005,298.03843720231794,1.0,0.0,39.0,270.0,0.0,0.0,0.33484063604490966,0.49999999975,427.26,0.0,0.5,0.5,0.5,0.6931471805599453,0.0,1.0,1.0,0.0,0.5,0.0,0.5,False,False,False,1,0.695592363840539,0.127877596855699,True,False,0.0,0.0,0.5,0.5
C00047,87,455,4,3190.39,607.9830091581507,797.5975,607.9830091581507,1.5,0.5773502691896257,55.0,122.66666666666667,46.949145063805176,0.3827375956257264,0.4962434059784238,0.2499999999375,1583.21,0.5,0.5,0.0,0.3333333333333333,1.3296613488547582,0.0,1.0,1.0,0.0,0.25,0.25,0.5,True,False,False,0,0.5011510387422796,0.285204941044357,False,True,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333
C00074,224,224,1,1132.37,0.0,1132.37,0.0,4.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.6931471805599453,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,False,1,0.3552498596294217,0.0,False,True,0.5,0.0,0.25,0.25
C00081,294,560,2,1936.32,678.596235769106,968.16,678.596235769106,3.0,2.8284271247461903,66.0,266.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6365141682948128,1.0,0.0,0.0,0.0,0.5,0.5,0.0,True,False,False,0,0.5017405951712521,0.09921392476136998,False,True,0.0,0.5,0.5,0.0
C00086,225,683,2,993.6600000000001,62.960787796850184,496.83000000000004,62.960787796850184,2.0,1.4142135623730951,50.0,458.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.5,1.0397207708399179,0.0,1.0,1.0,0.5,0.5,0.0,0.0,True,False,False,0,0.5072150477259966,0.2164795058955643,False,True,0.25,0.5,0.0,0.25
C00090,16,543,2,4919.139999999999,2868.5625056463386,2459.5699999999997,2868.5625056463386,2.0,0.0,65.0,527.0,0.0,0.0,0.0876555658102661,0.49999999975,431.19,0.5,0.5,0.0,0.25,1.3862943611198906,0.0,0.0,1.0,0.5,0.5,0.0,0.0,False,True,False,0,0.5823413812464907,0.25426726558113416,True,False,0.25,0.5,0.0,0.25
C00094,292,707,4,1043.53,235.23196145861357,260.8825,235.23196145861357,1.5,0.5773502691896257,64.0,138.33333333333334,129.32989686156185,0.934914917064773,0.0,0.0,0.0,0.0,0.8333333333333333,0.16666666666666666,0.6666666666666666,0.8675632284814612,0.0,1.0,1.0,0.25,0.5,0.0,0.25,True,False,False,0,0.21864121280179674,0.08182201010668166,False,True,0.3333333333333333,0.5,0.16666666666666666,0.0
C00100,63,201,3,2341.48,713.8836432734212,780.4933333333333,713.8836432734212,3.0,1.0,34.0,69.0,49.0,0.7101449275259399,0.8795035618493947,0.6666666664444444,2059.34,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.3333333333333333,1.310783678099714,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,False,False,False,1,0.24519932622122403,0.1913250982594048,False,True,0.3333333333333333,0.4444444444444444,0.0,0.2222222222222222
